No.,科目名,単位,評価,年度
1, 和歌山企業トップ経営論,2, 100,2021
2, ASEANと日本,2,84,2022
3, 自然災害と防災・減災,2,82,2021
4, 地域協働セミナー,2,93,2021
5, 中国文化史,2,85,2021
6, 中国語中級Ａ,2,80,2022
7, 世界の情報通信研究を知る,2,81,2022
8, わかやま未来学 特講,1,75,2021
9, サイエンス論,1,78,2021
10, 大学論,1,82,2022
11, 天文学,1,81,2021
12, 倫理学,1,70,2021
13, 経済学の考え方,1,90,2021
14, 外国語としての日本語を学ぶ,2,95,2021
15, データサイエンスへの誘いＡ,1,100,2021
16, データサイエンスへの誘いＢ,1,98,2021
17, データサイエンス入門Ａ,1,100,2021
18, データサイエンス入門Ｂ,1,91,2021
19, 中国語入門,2,93,2021
20, 中国語初級,2,84,2021
21, わかやま未来学,1,95,2021
22, 情報処理ⅠＡ,1,85,2021
23, 情報処理ⅠＢ,1,85,2021
24, 情報処理ⅡＡ,1,89,2021
25, 情報処理ⅡＢ,1,88,2021
26, 英語Ⅰ,2,100,2021
27, 英語Ⅱ,2,95,2021
28, 英語Ⅲ,2,94,2022
29, 英語Ⅳ,2,93,2022
30, 社会情報学セミナーⅠ,2,86,2023
31, 社会情報学セミナーⅡ,2,88,2023
32, 計算機システムＢ,1,85,2022
33, アルゴリズム設計Ａ,1,74,2022
34, オペレーティングシステム,1,75,2022
35, 情報ネットワークＡ,1,91,2022
36, 情報ネットワークＢ,1,94,2022
37, プログラム設計技法Ａ,1,83,2022
38, データマイニング１,1,94,2023
39, 発想法,1,86,2022
40, ＨＣＩ基礎論,1,80,2022
41, ヒューマンインタフェースデザイン,1,80,2022
42, データサイエンス概論１,1,100,2022
43, プログラミング言語１,1,91,2023
44, 情報理論,2,100,2022
45, アルゴリズム設計Ｂ,1,81,2023
46, プログラム設計技法Ｂ,1,87,2022
47, データマイニング２,1,95,2023
48, モバイルシステム技術論１,1,79,2023
49, モバイルシステム技術論２,1,96,2023
50, ソフトウェア工学概論,1,92,2023
51, システム評価法,1,84,2022
52, データサイエンス概論２,1,92,2022
53, 科学技術英語Ａ１,1,80,2023
54, 科学技術英語Ａ２,1,76,2023
55, プログラミング言語２,1,93,2023
56, ビジネスインテリジェンス,1,81,2023
57, デザイン情報総合演習１,1,72,2023
58, デザイン情報総合演習２,1,74,2023
59, ウェブデザイン演習Ａ,1,90,2022
60, ウェブデザイン演習Ｂ,1,91,2022
61, ソフトウェアエンジニアリング演習Ａ,1,85,2023
62, 情報システム開発演習１,1,94,2022
63, 情報システム開発演習２,1,76,2022
64, 基礎プログラミング演習,1,89,2022
65, データサイエンス実践,2,85,2023
66, データサイエンス基礎A,1,95,2022
67, データサイエンス基礎B,1,97,2022
68, データサイエンス応用A,1,80,2022
69, データサイエンス応用B,1,85,2022
70, 人工知能,2,91,2022
71, データベースアーキテクチャ,2,72,2023
72, オブジェクト指向プログラミング演習,2,90,2023
73, ネットワークセキュリティ,2,84,2023
74, 信号とシステム,2,90,2022
75, ランドスケープ・エコロジー,2,94,2023
76, データ解析,2,91,2022
77, 計算機システムＡ,1,100,2022
78, 離散数学１,1,75,2022
79, 離散数学２,1,81,2022
80, プログラミング言語処理系,1,82,2022
81, 計算機システムＣ,1,93,2022
82, 情報ネットワークＣ,1,89,2022
83, 情報ネットワークＤ,1,77,2023
84, 情報ネットワーク演習Ａ,1,94,2022
85, 情報ネットワーク演習Ｂ,1,96,2022
86, 微積分１,2,72,2021
87, 線形代数１,2,90,2021
88, メジャー紹介講義１,2,90,2021
89, メジャー紹介講義２,2,91,2021
90, 基礎電磁気学,2,88,2021
91, 微積分２,2,87,2021
92, 線形代数２,2,100,2021
93, 基礎力学Ⅰ,1,82,2021
94, 基礎力学Ⅱ,1,85,2021
95, 基礎化学Ａ,1,100,2021
96, システム工学入門セミナー,2,92,2021
97, メジャー体験演習Ａ,1,83,2021
98, メジャー体験演習Ｂ,1,80,2021
